customer_id,gender,age,senior_citizen,senior_label,married,number_of_dependents,number_of_referrals,tenure_in_months,tenure_group,offer,internet_service,internet_type,contract,payment_method,paperless_billing,monthly_charge,monthly_charge_group,total_charges,total_revenue,satisfaction_score,churn_label,churn_flag,churn_probability,predicted_churn,predicted_churn_flag,risk_level,prediction_result_type,revenue_at_risk,expected_annual_loss,high_risk_revenue,internet_contract_segment,senior_payment_segment,action_segment,recommended_action
0094-OIFMO,Female,78,Yes,,No,1,0,11,7-12 months,Offer D,Yes,Fiber Optic,Month-to-Month,Bank Withdrawal,Yes,95.0,High,1120.3,1367.79,1,Yes,1,0.6391776457132742,Yes,1,Medium Risk,True Positive,60.72187634276105,728.6625161131326,0.0,Fiber Optic + Month-to-Month,nan + Bank Withdrawal,Monitor: Month-to-Month,"Offer an incentive to switch to a one-year or two-year contract | Review service quality, speed complaints, and support history | Offer a trial premium support package | Encourage a more stable or convenient payment method | Apply early-life retention follow-up"
9947-OTFQU,Male,65,Yes,,No,0,0,15,13-24 months,Offer D,Yes,Fiber Optic,Month-to-Month,Bank Withdrawal,Yes,74.4,High,1074.3,1510.9499999999998,1,Yes,1,0.49730720967039993,Yes,1,Medium Risk,True Positive,36.99965639947776,443.9958767937331,0.0,Fiber Optic + Month-to-Month,nan + Bank Withdrawal,Monitor: Month-to-Month,"Offer an incentive to switch to a one-year or two-year contract | Review service quality, speed complaints, and support history | Offer a trial premium support package | Encourage a more stable or convenient payment method"
9514-JDSKI,Male,77,Yes,,Yes,0,1,1,0-6 months,Offer E,Yes,DSL,Month-to-Month,Bank Withdrawal,No,40.2,Medium,40.2,40.2,2,Yes,1,0.9122355859051926,Yes,1,High Risk,True Positive,36.67187055338874,440.0624466406649,40.2,DSL + Month-to-Month,nan + Bank Withdrawal,High Risk,Offer an incentive to switch to a one-year or two-year contract | Offer a trial premium support package | Encourage a more stable or convenient payment method | Apply early-life retention follow-up
7273-TEFQD,Male,67,Yes,,No,0,0,3,0-6 months,Offer E,Yes,DSL,Month-to-Month,Bank Withdrawal,Yes,41.15,Medium,132.2,132.2,2,Yes,1,0.839312950472536,Yes,1,High Risk,True Positive,34.537727911944856,414.45273494333827,41.15,DSL + Month-to-Month,nan + Bank Withdrawal,High Risk,Offer an incentive to switch to a one-year or two-year contract | Offer a trial premium support package | Encourage a more stable or convenient payment method | Apply early-life retention follow-up
3606-TWKGI,Male,68,Yes,,No,0,0,13,13-24 months,Offer D,Yes,Cable,Month-to-Month,Bank Withdrawal,Yes,106.9,Very High,1364.3,1799.14,1,Yes,1,0.9381689313457597,Yes,1,High Risk,True Positive,100.29025876086172,1203.4831051303406,106.9,Cable + Month-to-Month,nan + Bank Withdrawal,Priority: High Value + High Risk,Offer an incentive to switch to a one-year or two-year contract | Offer a trial premium support package | Encourage a more stable or convenient payment method
4385-GZQXV,Female,68,Yes,,No,0,0,16,13-24 months,Offer D,Yes,Fiber Optic,Month-to-Month,Bank Withdrawal,Yes,94.45,High,1511.2,1662.08,1,Yes,1,0.6594798996209745,Yes,1,Medium Risk,True Positive,62.28787651920105,747.4545182304125,0.0,Fiber Optic + Month-to-Month,nan + Bank Withdrawal,Monitor: Month-to-Month,"Offer an incentive to switch to a one-year or two-year contract | Review service quality, speed complaints, and support history | Encourage a more stable or convenient payment method"
3488-PGMQJ,Male,66,Yes,,No,0,0,8,7-12 months,,Yes,Fiber Optic,Month-to-Month,Bank Withdrawal,Yes,74.5,High,606.55,620.79,2,Yes,1,0.6409676738339345,Yes,1,Medium Risk,True Positive,47.75209170062812,573.0251004075375,0.0,Fiber Optic + Month-to-Month,nan + Bank Withdrawal,Monitor: Month-to-Month,"Offer an incentive to switch to a one-year or two-year contract | Review service quality, speed complaints, and support history | Offer a trial premium support package | Encourage a more stable or convenient payment method | Apply early-life retention follow-up"
7534-BFESC,Male,69,Yes,,No,0,0,24,13-24 months,Offer C,Yes,Fiber Optic,Month-to-Month,Bank Withdrawal,Yes,76.1,High,1712.7,2453.58,2,Yes,1,0.6284566591929158,Yes,1,Medium Risk,True Positive,47.825551764580894,573.9066211749707,0.0,Fiber Optic + Month-to-Month,nan + Bank Withdrawal,Monitor: Month-to-Month,"Offer an incentive to switch to a one-year or two-year contract | Review service quality, speed complaints, and support history | Offer a trial premium support package | Encourage a more stable or convenient payment method"
8098-LLAZX,Female,74,Yes,,No,0,0,4,0-6 months,Offer E,Yes,Fiber Optic,Month-to-Month,Bank Withdrawal,Yes,95.45,Very High,396.1,522.54,3,Yes,1,0.8957844824086155,Yes,1,High Risk,True Positive,85.50262884590235,1026.0315461508283,95.45,Fiber Optic + Month-to-Month,nan + Bank Withdrawal,Priority: High Value + High Risk,"Offer an incentive to switch to a one-year or two-year contract | Review service quality, speed complaints, and support history | Offer a trial premium support package | Encourage a more stable or convenient payment method | Apply early-life retention follow-up"
0265-EDXBD,Male,76,Yes,,Yes,0,2,32,25-48 months,Offer C,Yes,Fiber Optic,Month-to-Month,Bank Withdrawal,Yes,74.9,High,2303.35,3818.23,2,Yes,1,0.7059635310926973,Yes,1,High Risk,True Positive,52.87666847884303,634.5200217461163,74.9,Fiber Optic + Month-to-Month,nan + Bank Withdrawal,Priority: High Value + High Risk,"Offer an incentive to switch to a one-year or two-year contract | Review service quality, speed complaints, and support history | Offer a trial premium support package | Encourage a more stable or convenient payment method"
2840-XANRC,Male,77,Yes,,Yes,0,1,24,13-24 months,Offer C,Yes,Cable,Month-to-Month,Bank Withdrawal,Yes,93.15,High,2231.05,2617.4500000000003,2,Yes,1,0.9762959368369092,Yes,1,High Risk,True Positive,90.9419665163581,1091.3035981962971,93.15,Cable + Month-to-Month,nan + Bank Withdrawal,Priority: High Value + High Risk,Offer an incentive to switch to a one-year or two-year contract | Offer a trial premium support package | Encourage a more stable or convenient payment method
5020-ZSTTY,Female,70,Yes,,No,0,0,54,49-72 months,Offer B,Yes,DSL,One Year,Bank Withdrawal,No,82.45,High,4350.1,5002.42,1,Yes,1,0.048470770784725004,No,0,Low Risk,False Negative,3.9964150512005765,47.956980614406916,0.0,DSL + One Year,nan + Bank Withdrawal,Low Priority,Encourage a more stable or convenient payment method
5804-LEPIM,Female,74,Yes,,No,0,0,2,0-6 months,Offer E,Yes,Fiber Optic,Month-to-Month,Bank Withdrawal,Yes,70.35,High,139.05,165.39,3,Yes,1,0.8356241293541786,Yes,1,High Risk,True Positive,58.78615750006646,705.4338900007975,70.35,Fiber Optic + Month-to-Month,nan + Bank Withdrawal,Priority: High Value + High Risk,"Offer an incentive to switch to a one-year or two-year contract | Review service quality, speed complaints, and support history | Offer a trial premium support package | Encourage a more stable or convenient payment method | Apply early-life retention follow-up"
0623-IIHUG,Female,77,Yes,,No,0,0,21,13-24 months,,Yes,Cable,Month-to-Month,Bank Withdrawal,Yes,41.9,Medium,840.1,840.1,1,Yes,1,0.7056333037846696,Yes,1,High Risk,True Positive,29.566035428577656,354.79242514293185,41.9,Cable + Month-to-Month,nan + Bank Withdrawal,High Risk,Offer an incentive to switch to a one-year or two-year contract | Offer a trial premium support package | Encourage a more stable or convenient payment method
9057-MSWCO,Male,71,Yes,,Yes,0,0,27,25-48 months,,Yes,Cable,Month-to-Month,Credit Card,No,30.75,Low,805.1,945.1,1,Yes,1,0.7734482354357602,Yes,1,High Risk,True Positive,23.78353323964963,285.40239887579554,30.75,Cable + Month-to-Month,nan + Credit Card,High Risk,Offer an incentive to switch to a one-year or two-year contract | Offer a trial premium support package
4895-TMWIR,Male,79,Yes,,Yes,0,1,11,7-12 months,,No,,Month-to-Month,Mailed Check,No,19.95,Low,214.75,539.69,1,Yes,1,0.7044260417107626,Yes,1,High Risk,True Positive,14.053299532129714,168.63959438555656,19.95,None + Month-to-Month,nan + Mailed Check,High Risk,Offer an incentive to switch to a one-year or two-year contract | Offer a trial premium support package | Encourage a more stable or convenient payment method | Apply early-life retention follow-up
0533-BNWKF,Female,66,Yes,,Yes,0,2,55,49-72 months,Offer B,Yes,Fiber Optic,Month-to-Month,Bank Withdrawal,Yes,85.45,High,4874.7,7319.799999999999,1,Yes,1,0.6721620252900751,Yes,1,Medium Risk,True Positive,57.436245061036914,689.234940732443,0.0,Fiber Optic + Month-to-Month,nan + Bank Withdrawal,Monitor: Month-to-Month,"Offer an incentive to switch to a one-year or two-year contract | Review service quality, speed complaints, and support history | Offer a trial premium support package | Encourage a more stable or convenient payment method"
0334-GDDSO,Male,77,Yes,,No,0,0,3,0-6 months,Offer E,Yes,Fiber Optic,Month-to-Month,Bank Withdrawal,Yes,81.35,High,233.7,261.36,1,Yes,1,0.8521189239820492,Yes,1,High Risk,True Positive,69.3198744659397,831.8384935912765,81.35,Fiber Optic + Month-to-Month,nan + Bank Withdrawal,Priority: High Value + High Risk,"Offer an incentive to switch to a one-year or two-year contract | Review service quality, speed complaints, and support history | Offer a trial premium support package | Encourage a more stable or convenient payment method | Apply early-life retention follow-up"
5564-NEMQO,Female,80,Yes,,No,0,0,1,0-6 months,Offer E,Yes,Fiber Optic,Month-to-Month,Bank Withdrawal,Yes,75.3,High,75.3,130.39,2,Yes,1,0.8309245218304027,Yes,1,High Risk,True Positive,62.56861649382932,750.8233979259518,75.3,Fiber Optic + Month-to-Month,nan + Bank Withdrawal,Priority: High Value + High Risk,"Offer an incentive to switch to a one-year or two-year contract | Review service quality, speed complaints, and support history | Offer a trial premium support package | Encourage a more stable or convenient payment method | Apply early-life retention follow-up"
6235-VDHOM,Female,77,Yes,,No,0,0,5,0-6 months,Offer E,Yes,DSL,Month-to-Month,Bank Withdrawal,No,28.45,Low,131.05,131.05,2,Yes,1,0.6787527923305754,Yes,1,Medium Risk,True Positive,19.31051694180487,231.72620330165844,0.0,DSL + Month-to-Month,nan + Bank Withdrawal,Monitor: Month-to-Month,Offer an incentive to switch to a one-year or two-year contract | Offer a trial premium support package | Encourage a more stable or convenient payment method | Apply early-life retention follow-up
5609-CEBID,Female,77,Yes,,No,0,0,20,13-24 months,,Yes,Fiber Optic,Month-to-Month,Bank Withdrawal,Yes,94.1,High,1782.4,2837.0,1,Yes,1,0.7492231381668917,Yes,1,High Risk,True Positive,70.5018973015045,846.022767618054,94.1,Fiber Optic + Month-to-Month,nan + Bank Withdrawal,Priority: High Value + High Risk,"Offer an incentive to switch to a one-year or two-year contract | Review service quality, speed complaints, and support history | Offer a trial premium support package | Encourage a more stable or convenient payment method"
5956-VKDTT,Female,72,Yes,,Yes,0,4,5,0-6 months,Offer E,Yes,Fiber Optic,Month-to-Month,Bank Withdrawal,Yes,74.35,High,334.8,563.6,1,Yes,1,0.7801601133389925,Yes,1,High Risk,True Positive,58.00490442675409,696.0588531210491,74.35,Fiber Optic + Month-to-Month,nan + Bank Withdrawal,Priority: High Value + High Risk,"Offer an incentive to switch to a one-year or two-year contract | Review service quality, speed complaints, and support history | Offer a trial premium support package | Encourage a more stable or convenient payment method | Apply early-life retention follow-up"
0257-ZESQC,Female,80,Yes,,Yes,0,2,27,25-48 months,,Yes,Cable,Month-to-Month,Bank Withdrawal,Yes,75.2,High,1929.35,2118.89,1,Yes,1,0.9424715527592104,Yes,1,High Risk,True Positive,70.87386076749262,850.4863292099114,75.2,Cable + Month-to-Month,nan + Bank Withdrawal,Priority: High Value + High Risk,Offer an incentive to switch to a one-year or two-year contract | Offer a trial premium support package | Encourage a more stable or convenient payment method
2865-TCHJW,Female,74,Yes,,No,0,0,4,0-6 months,,Yes,Cable,Month-to-Month,Bank Withdrawal,Yes,89.2,High,346.2,539.6,1,Yes,1,0.9763947092480533,Yes,1,High Risk,True Positive,87.09440806492636,1045.1328967791162,89.2,Cable + Month-to-Month,nan + Bank Withdrawal,Priority: High Value + High Risk,Offer an incentive to switch to a one-year or two-year contract | Offer a trial premium support package | Encourage a more stable or convenient payment method | Apply early-life retention follow-up
5192-EBGOV,Female,68,Yes,,No,0,0,1,0-6 months,,Yes,Fiber Optic,Month-to-Month,Bank Withdrawal,Yes,85.7,High,85.7,131.51,1,Yes,1,0.8412480518920218,Yes,1,High Risk,True Positive,72.09495804714626,865.1394965657552,85.7,Fiber Optic + Month-to-Month,nan + Bank Withdrawal,Priority: High Value + High Risk,"Offer an incentive to switch to a one-year or two-year contract | Review service quality, speed complaints, and support history | Offer a trial premium support package | Encourage a more stable or convenient payment method | Apply early-life retention follow-up"
3419-SNJJD,Female,78,Yes,,Yes,0,3,65,49-72 months,Offer B,Yes,Fiber Optic,Month-to-Month,Bank Withdrawal,No,105.25,Very High,6786.4,7981.75,1,Yes,1,0.43195836962644785,Yes,1,Medium Risk,True Positive,45.46361840318364,545.5634208382037,0.0,Fiber Optic + Month-to-Month,nan + Bank Withdrawal,Monitor: Month-to-Month,"Offer an incentive to switch to a one-year or two-year contract | Review service quality, speed complaints, and support history | Offer a trial premium support package | Encourage a more stable or convenient payment method"
4554-YGZIH,Male,75,Yes,,Yes,0,3,49,49-72 months,Offer B,Yes,Fiber Optic,Month-to-Month,Credit Card,No,90.05,High,4547.25,5670.33,2,Yes,1,0.28480197177135397,No,0,Low Risk,False Negative,25.646417558010423,307.75701069612506,0.0,Fiber Optic + Month-to-Month,nan + Credit Card,Low Priority,"Offer an incentive to switch to a one-year or two-year contract | Review service quality, speed complaints, and support history | Offer a trial premium support package"
5099-BAILX,Male,77,Yes,,Yes,0,1,43,25-48 months,Offer B,Yes,Fiber Optic,Month-to-Month,Bank Withdrawal,Yes,110.75,Very High,4687.9,5312.259999999999,2,Yes,1,0.8136950276333359,Yes,1,High Risk,True Positive,90.11672431039194,1081.4006917247034,110.75,Fiber Optic + Month-to-Month,nan + Bank Withdrawal,Priority: High Value + High Risk,"Offer an incentive to switch to a one-year or two-year contract | Review service quality, speed complaints, and support history | Encourage a more stable or convenient payment method"
4913-EHYUI,Male,80,Yes,,Yes,0,0,56,49-72 months,Offer B,Yes,Fiber Optic,One Year,Bank Withdrawal,Yes,104.55,Very High,5794.65,8527.449999999999,1,Yes,1,0.5870700877694854,Yes,1,Medium Risk,True Positive,61.3781776762997,736.5381321155965,0.0,Fiber Optic + One Year,nan + Bank Withdrawal,Monitor,"Review service quality, speed complaints, and support history | Offer a trial premium support package | Encourage a more stable or convenient payment method"
1626-ERCMM,Male,75,Yes,,Yes,0,7,20,13-24 months,,Yes,Fiber Optic,Month-to-Month,Bank Withdrawal,Yes,94.55,High,1899.65,2005.85,1,Yes,1,0.3501829618088942,Yes,1,Medium Risk,True Positive,33.109799039030946,397.31758846837135,0.0,Fiber Optic + Month-to-Month,nan + Bank Withdrawal,Monitor: Month-to-Month,"Offer an incentive to switch to a one-year or two-year contract | Review service quality, speed complaints, and support history | Offer a trial premium support package | Encourage a more stable or convenient payment method"
5644-PDMZC,Female,69,Yes,,No,0,0,2,0-6 months,,Yes,Fiber Optic,Month-to-Month,Bank Withdrawal,No,89.5,High,161.5,256.44,2,Yes,1,0.7602197303420559,Yes,1,High Risk,True Positive,68.03966586561401,816.4759903873681,89.5,Fiber Optic + Month-to-Month,nan + Bank Withdrawal,Priority: High Value + High Risk,"Offer an incentive to switch to a one-year or two-year contract | Review service quality, speed complaints, and support history | Offer a trial premium support package | Encourage a more stable or convenient payment method | Apply early-life retention follow-up"
4160-AMJTL,Female,74,Yes,,No,0,0,8,7-12 months,,No,,Month-to-Month,Bank Withdrawal,No,19.65,Low,164.3,387.9,2,Yes,1,0.2879196198603829,No,0,Low Risk,False Negative,5.657620530256524,67.89144636307829,0.0,None + Month-to-Month,nan + Bank Withdrawal,Low Priority,Offer an incentive to switch to a one-year or two-year contract | Offer a trial premium support package | Encourage a more stable or convenient payment method | Apply early-life retention follow-up
0823-HSCDJ,Male,76,Yes,,No,0,0,52,49-72 months,,Yes,DSL,Month-to-Month,Bank Withdrawal,Yes,49.15,Medium,2550.9,2580.9,2,Yes,1,0.4724097061743759,Yes,1,Medium Risk,True Positive,23.218937058470573,278.6272447016469,0.0,DSL + Month-to-Month,nan + Bank Withdrawal,Monitor: Month-to-Month,Offer an incentive to switch to a one-year or two-year contract | Offer a trial premium support package | Encourage a more stable or convenient payment method
0067-DKWBL,Male,69,Yes,,No,0,0,2,0-6 months,,Yes,DSL,Month-to-Month,Bank Withdrawal,Yes,49.25,Medium,91.1,179.07999999999998,2,Yes,1,0.5365178496479823,Yes,1,Medium Risk,True Positive,26.42350409516313,317.08204914195755,0.0,DSL + Month-to-Month,nan + Bank Withdrawal,Monitor: Month-to-Month,Offer an incentive to switch to a one-year or two-year contract | Offer a trial premium support package | Encourage a more stable or convenient payment method | Apply early-life retention follow-up
5244-IRFIH,Male,72,Yes,,Yes,0,1,33,25-48 months,,Yes,Fiber Optic,Month-to-Month,Bank Withdrawal,Yes,94.5,High,3105.55,4022.29,3,Yes,1,0.893421595746279,Yes,1,High Risk,True Positive,84.42834079802337,1013.1400895762804,94.5,Fiber Optic + Month-to-Month,nan + Bank Withdrawal,Priority: High Value + High Risk,"Offer an incentive to switch to a one-year or two-year contract | Review service quality, speed complaints, and support history | Offer a trial premium support package | Encourage a more stable or convenient payment method"
2684-EIWEO,Female,69,Yes,,No,0,0,30,25-48 months,,Yes,Fiber Optic,Month-to-Month,Credit Card,No,91.7,High,2758.15,4134.55,1,Yes,1,0.4631386713142511,Yes,1,Medium Risk,True Positive,42.46981615951683,509.637793914202,0.0,Fiber Optic + Month-to-Month,nan + Credit Card,Monitor: Month-to-Month,"Offer an incentive to switch to a one-year or two-year contract | Review service quality, speed complaints, and support history | Offer a trial premium support package"
6683-VLCTZ,Male,73,Yes,,No,0,0,20,13-24 months,,Yes,Fiber Optic,Month-to-Month,Bank Withdrawal,Yes,98.55,Very High,1842.8,2851.6,3,Yes,1,0.847967284205625,Yes,1,High Risk,True Positive,83.56717585846434,1002.8061103015721,98.55,Fiber Optic + Month-to-Month,nan + Bank Withdrawal,Priority: High Value + High Risk,"Offer an incentive to switch to a one-year or two-year contract | Review service quality, speed complaints, and support history | Offer a trial premium support package | Encourage a more stable or convenient payment method"
0691-IFBQW,Female,65,Yes,,No,0,0,46,25-48 months,,Yes,Fiber Optic,One Year,Bank Withdrawal,Yes,110.0,Very High,4874.8,4983.820000000001,1,Yes,1,0.22995133766046316,No,0,Low Risk,False Negative,25.29464714265095,303.5357657118114,0.0,Fiber Optic + One Year,nan + Bank Withdrawal,Low Priority,"Review service quality, speed complaints, and support history | Offer a trial premium support package | Encourage a more stable or convenient payment method"
3643-AHCFP,Male,74,Yes,,Yes,0,1,7,7-12 months,,Yes,Cable,Month-to-Month,Bank Withdrawal,Yes,95.6,Very High,644.35,797.72,3,Yes,1,0.9903420899139169,Yes,1,High Risk,True Positive,94.67670379577045,1136.1204455492455,95.6,Cable + Month-to-Month,nan + Bank Withdrawal,Priority: High Value + High Risk,Offer an incentive to switch to a one-year or two-year contract | Offer a trial premium support package | Encourage a more stable or convenient payment method | Apply early-life retention follow-up
9231-ZJYAM,Female,65,Yes,,No,0,0,4,0-6 months,,Yes,Fiber Optic,Month-to-Month,Bank Withdrawal,Yes,78.85,High,292.8,440.52,3,Yes,1,0.7557012581170841,Yes,1,High Risk,True Positive,59.58704420253208,715.044530430385,78.85,Fiber Optic + Month-to-Month,nan + Bank Withdrawal,Priority: High Value + High Risk,"Offer an incentive to switch to a one-year or two-year contract | Review service quality, speed complaints, and support history | Offer a trial premium support package | Encourage a more stable or convenient payment method | Apply early-life retention follow-up"
0727-BMPLR,Female,66,Yes,,No,0,0,55,49-72 months,,Yes,Fiber Optic,One Year,Bank Withdrawal,Yes,100.0,Very High,5509.3,7665.200000000001,3,Yes,1,0.3987392266213807,Yes,1,Medium Risk,True Positive,39.87392266213807,478.48707194565685,0.0,Fiber Optic + One Year,nan + Bank Withdrawal,Monitor,"Review service quality, speed complaints, and support history | Offer a trial premium support package | Encourage a more stable or convenient payment method"
0947-MUGVO,Male,71,Yes,,Yes,0,1,20,13-24 months,,Yes,Fiber Optic,Month-to-Month,Bank Withdrawal,Yes,73.65,High,1463.5,1570.9,1,Yes,1,0.7750997205253747,Yes,1,High Risk,True Positive,57.08609441669385,685.0331330003262,73.65,Fiber Optic + Month-to-Month,nan + Bank Withdrawal,Priority: High Value + High Risk,"Offer an incentive to switch to a one-year or two-year contract | Review service quality, speed complaints, and support history | Offer a trial premium support package | Encourage a more stable or convenient payment method"
0781-LKXBR,Male,65,Yes,,No,0,0,9,7-12 months,,Yes,Fiber Optic,Month-to-Month,Bank Withdrawal,Yes,100.5,Very High,918.6,1356.99,1,Yes,1,0.8759496067377098,Yes,1,High Risk,True Positive,88.03293547713984,1056.395225725678,100.5,Fiber Optic + Month-to-Month,nan + Bank Withdrawal,Priority: High Value + High Risk,"Offer an incentive to switch to a one-year or two-year contract | Review service quality, speed complaints, and support history | Offer a trial premium support package | Encourage a more stable or convenient payment method | Apply early-life retention follow-up"
1907-UBQFC,Male,69,Yes,,No,0,0,10,7-12 months,,Yes,Fiber Optic,Month-to-Month,Bank Withdrawal,Yes,72.85,High,688.65,773.25,1,Yes,1,0.5856488459754203,Yes,1,Medium Risk,True Positive,42.66451842930937,511.9742211517124,0.0,Fiber Optic + Month-to-Month,nan + Bank Withdrawal,Monitor: Month-to-Month,"Offer an incentive to switch to a one-year or two-year contract | Review service quality, speed complaints, and support history | Offer a trial premium support package | Encourage a more stable or convenient payment method | Apply early-life retention follow-up"
6513-EECDB,Male,75,Yes,,Yes,0,0,1,0-6 months,,Yes,Fiber Optic,Month-to-Month,Bank Withdrawal,Yes,73.55,High,73.55,110.47,2,Yes,1,0.9489728415474992,Yes,1,High Risk,True Positive,69.79695249581856,837.5634299498226,73.55,Fiber Optic + Month-to-Month,nan + Bank Withdrawal,Priority: High Value + High Risk,"Offer an incentive to switch to a one-year or two-year contract | Review service quality, speed complaints, and support history | Offer a trial premium support package | Encourage a more stable or convenient payment method | Apply early-life retention follow-up"
7074-IEVOJ,Female,75,Yes,,No,0,0,3,0-6 months,,Yes,Fiber Optic,Month-to-Month,Bank Withdrawal,Yes,79.4,High,205.05,330.75,1,Yes,1,0.7329491279046332,Yes,1,High Risk,True Positive,58.19616075562788,698.3539290675345,79.4,Fiber Optic + Month-to-Month,nan + Bank Withdrawal,Priority: High Value + High Risk,"Offer an incentive to switch to a one-year or two-year contract | Review service quality, speed complaints, and support history | Offer a trial premium support package | Encourage a more stable or convenient payment method | Apply early-life retention follow-up"
